obs,Expenditures,Revenues,Exports,Imports,IntDef,ExtDef,d_Expenditures,d_Revenues,d_Exports,d_Imports,d_IntDef,d_ExtDef,d_d_Expenditures,d_d_Revenues,d_d_Exports,d_d_Imports,d_d_IntDef,d_d_ExtDef,l_Expenditures,l_Revenues,l_Exports,l_Imports,l_IntDef,l_ExtDef,ld_Expenditures,ld_Revenues,ld_Exports,ld_Imports,ld_IntDef,ld_ExtDef,sd_Expenditures,sd_Revenues,sd_Exports,sd_Imports,sd_IntDef,sd_ExtDef
1990Q2,2423.41336523671,2212.95973337891,550.487,614.108,-210.453631857803,-63.621,19.7760401978298,10.5473608197303,6.928,6.7879999999999,-9.22867937810702,0.1400000000001,-5.14996391827026,7.29317833804043,-15.2389999999999,-6.28800000000012,12.443142256305,-8.9509999999998,7.79293230685885,7.70208614439473,6.31080334098835,6.42017080844477,NA,NA,0.00819388571331992,0.00477757282004543,0.0126650846610508,0.0111149734307814,NA,NA,92.07730086217,18.9122571536,43.3799999999999,28.261,-73.165043708571,15.119
1990Q3,2434.06245450698,2228.86570461278,555.091,613.208,-205.196749894202,-58.117,10.64908927027,15.9059712338699,4.60400000000004,-0.899999999999977,5.25688196360102,5.504,-9.12695092755985,5.35861041413955,-2.32399999999996,-7.68799999999987,14.485561341708,5.3639999999999,7.79731693242411,7.70924808240652,6.31913206426978,6.41870419322697,NA,NA,0.00438462556525998,0.00716193801178466,0.00832872328142731,-0.00146661521779556,NA,NA,82.1738158908902,34.0924817999103,42.1080000000001,26.6669999999999,-48.081334090977,15.4410000000001
1990Q4,2449.3165662402,2212.29003714404,560.682,593.846,-237.026529096162,-33.164,15.2541117332198,-16.57566746874,5.59100000000001,-19.362,-31.82977920196,24.953,4.60502246294982,-32.4816387026099,0.986999999999966,-18.462,-37.086661165561,19.449,7.80356431206925,7.70178347391297,6.32915389988559,6.38662002648989,NA,NA,0.00624737964514477,-0.0074646084935468,0.0100218356158148,-0.0320841667370786,NA,NA,70.6052453174198,13.1318470665501,39.29,-0.398000000000025,-57.473398250878,39.688
1991Q1,2387.44256151214,2178.91191135734,563.171,581.479,-208.530650154799,-18.308,-61.8740047280598,-33.3781257866999,2.48900000000003,-12.367,28.495878941363,14.856,-77.1281164612797,-16.8024583179599,-3.10199999999998,6.995,60.325658143323,-10.097,7.7779780140601,7.68658090794909,6.33358331204083,6.36557485780704,NA,NA,-0.0255862980091504,-0.0152025659638761,0.00442941215523707,-0.0210451686828534,NA,NA,-16.1947635267402,-23.5004612018397,19.6120000000001,-25.841,-7.305697675103,45.4530000000001
1991Q2,2472.60221177996,2198.44207242972,583.825,598.081,-274.160139350239,-14.256,85.1596502678199,19.53016107238,20.654,16.602,-65.62948919544,4.052,147.03365499588,52.9082868590799,18.165,28.9689999999999,-94.125368136803,-10.804,7.8130264020883,7.69550423959496,6.36960128038769,6.39372619628292,NA,NA,0.035048388028204,0.00892333164586656,0.0360179683468616,0.0281513384758805,NA,NA,49.1888465432498,-14.51766094919,33.3380000000001,-16.0269999999999,-63.706507492436,49.365
1991Q3,2503.67982222222,2212.73155555556,597.825,613.857,-290.948266666667,-16.0319999999999,31.0776104422603,14.28948312584,14,15.776,-16.788127316428,-1.7759999999999,-54.0820398255596,-5.24067794654002,-6.654,-0.826000000000022,48.841361879012,-5.8279999999999,7.8255168575197,7.70198302928405,6.3932980689821,6.41976200199915,NA,NA,0.0124904554313909,0.00647878968908966,0.0236967885944068,0.0260358057162309,NA,NA,69.6173677152401,-16.1341490572199,42.734,0.649000000000001,-85.751516772465,42.0850000000001
1991Q4,2545.40342321976,2227.77209752947,611.583,621.206,-317.631325690296,-9.62300000000005,41.72360099754,15.04054197391,13.7579999999999,7.34900000000005,-26.683059023629,6.40899999999985,10.6459905552797,0.751058848069988,-0.242000000000075,-8.42699999999991,-9.89493170720101,8.18499999999975,7.8420444324222,7.70875730565785,6.41605067772353,6.43166274995294,NA,NA,0.0165275749024998,0.00677427637380035,0.0227526087414338,0.0119007479537832,NA,NA,96.0868569795603,15.48206038543,50.901,27.36,-80.604796594134,23.541
1992Q1,2588.03070133588,2231.55468352417,621.91,626.563,-356.476017811704,-4.65300000000002,42.6272781161201,3.78258599469973,10.327,5.35699999999997,-38.844692121408,4.97000000000003,0.903677118580163,-11.2579559792102,-3.43099999999993,-1.99200000000008,-12.161633097779,-1.43899999999982,7.85865251850865,7.71045378904542,6.43279538773615,6.44024932793966,NA,NA,0.0166080860864541,0.00169648338757256,0.0167447100126221,0.00858657798672269,NA,NA,200.58813982374,52.6427721668297,58.7389999999999,45.0839999999999,-147.945367656905,13.655
1992Q2,2610.1958903027,2255.27395874496,622.173,642.354,-354.921931557734,-20.181,22.1651889668196,23.7192752207902,0.263000000000034,15.7910000000001,1.55408625397001,-15.528,-20.4620891493005,19.9366892260905,-10.064,10.4340000000001,40.398778375378,-20.498,7.86718055125617,7.72102673402315,6.43321818911503,6.46513955359297,NA,NA,0.00852803274752123,0.0105729449777225,0.000422801378875626,0.0248902256533112,NA,NA,137.59367852274,56.8318863152399,38.348,44.273,-80.761792207495,-5.925
1992Q3,2629.29634842443,2239.33302056455,635.58,651.43,-389.963327859879,-15.8499999999999,19.1004581217303,-15.9409381804098,13.407,9.07599999999991,-35.041396302145,4.3310000000001,-3.06473084508934,-39.6602134012001,13.144,-6.71500000000015,-36.595482556115,19.8590000000001,7.87447154124683,7.71393334183363,6.45453796783646,6.47916994643317,NA,NA,0.00729098999066125,-0.00709339218951666,0.0213197787214314,0.0140303928402004,NA,NA,125.61652620221,26.6014650089901,37.755,37.573,-99.015061193212,0.182
